nDifferentMovements;nTotalMovements;movementsDifficulty;acrobaticMovements;movementsRepetition;humanMovements;balance;speed;bodyPartsCombination;musicBPM;headMovement;armsMovement;handsMovement;legsMovement;feetMovement;StorytellingH;RhythmH;MovementsH;PublicH;SpaceH;HumanCharH;HumanRepH
17;19;3;1;1;3;2;2;3;105;3;3;2;3;2;4;4;4;4;3;5;5
17;19;3;1;1;3;2;2;3;105;3;3;2;3;2;5;5;4;4;4;4;5
17;19;3;1;1;3;2;2;3;105;3;3;2;3;2;2;4;2;2;2;2;5
17;19;3;1;1;3;2;2;3;105;3;3;2;3;2;4;5;5;5;3;4;5
17;19;3;1;1;3;2;2;3;105;3;3;2;3;2;4;4;3;3;5;2;4
17;19;3;1;1;3;2;2;3;105;3;3;2;3;2;3;4;4;1;2;3;5
17;19;3;1;1;3;2;2;3;105;3;3;2;3;2;5;5;4;5;5;5;5
17;19;3;1;1;3;2;2;3;105;3;3;2;3;2;4;4;4;4;3;4;4
17;19;3;1;1;3;2;2;3;105;3;3;2;3;2;2;4;2;1;2;2;5
17;19;3;1;1;3;2;2;3;105;3;3;2;3;2;3;4;3;3;2;3;4
17;19;3;1;1;3;2;2;3;105;3;3;2;3;2;1;3;3;1;1;3;5
17;19;3;1;1;3;2;2;3;105;3;3;2;3;2;2;5;3;3;2;4;5
17;19;3;1;1;3;2;2;3;105;3;3;2;3;2;1;4;2;1;1;2;4
17;19;3;1;1;3;2;2;3;105;3;3;2;3;2;1;4;3;1;1;2;5
17;19;3;1;1;3;2;2;3;105;3;3;2;3;2;3;4;2;2;2;3;5
17;19;3;1;1;3;2;2;3;105;3;3;2;3;2;1;4;5;3;4;4;2
17;19;3;1;1;3;2;2;3;105;3;3;2;3;2;5;5;4;4;3;5;5
17;19;3;1;1;3;2;2;3;105;3;3;2;3;2;1;4;2;3;1;4;5
17;19;3;1;1;3;2;2;3;105;3;3;2;3;2;2;3;3;3;2;3;2
17;19;3;1;1;3;2;2;3;105;3;3;2;3;2;4;4;3;4;3;4;5
17;19;3;1;1;3;2;2;3;105;3;3;2;3;2;1;2;2;2;2;3;3
17;19;3;1;1;3;2;2;3;105;3;3;2;3;2;1;3;2;1;2;3;5
